    1-2021 NaN%
    2-2021 -0.26%
    3-2021 2.53%
    4-2021 2.11%
    5-2021 3.81%
    6-2021 1.71%
    7-2021 0.49%
2021 11.25%
    1-2020 NaN%
    2-2020 -1.52%
    3-2020 -6.99%
    4-2020 -14.52%
    5-2020 10.19%
    6-2020 4.87%
    7-2020 2.68%
    8-2020 4.69%
    9-2020 5.4%
    10-2020 -3.09%
    11-2020 -2.13%
    12-2020 12.01%
2020 13.35%
    1-2019 NaN%
    2-2019 7.76%
    3-2019 2.46%
    4-2019 0.7%
    5-2019 3.19%
    6-2019 -5.59%
    7-2019 5.37%
    8-2019 -0.22%
    9-2019 -1.94%
    10-2019 1.56%
    11-2019 2.63%
    12-2019 2.31%
2019 22.18%
    1-2018 NaN%
    2-2018 5.11%
    3-2018 -4.26%
    4-2018 -1.53%
    5-2018 0.5%
    6-2018 0.46%
    7-2018 -1.38%
    8-2018 2.78%
    9-2018 0.6%
    10-2018 -0.29%
    11-2018 -7.52%
    12-2018 1.59%
2018 -11.45%
    1-2017 NaN%
    2-2017 2.79%
    3-2017 2.49%
    4-2017 1%
    5-2017 1.58%
    6-2017 1.92%
    7-2017 -0.04%
    8-2017 2.53%
    9-2017 0.41%
    10-2017 1.51%
    11-2017 1.95%
    12-2017 1.81%
2017 20.42%
    1-2016 NaN%
    2-2016 -5.31%
    3-2016 -1.06%
    4-2016 6.88%
    5-2016 1.38%
    6-2016 0.35%
    7-2016 -1.02%
    8-2016 4.01%
    9-2016 0.44%
    10-2016 0.23%
    11-2016 -1.93%
    12-2016 0.94%
2016 5.72%
    1-2015 NaN%
    2-2015 -1.12%
    3-2015 5.28%
    4-2015 -1.55%
    5-2015 2.58%
    6-2015 0.18%
    7-2015 -2.83%
    8-2015 0.43%
    9-2015 -6.33%
    10-2015 -3.69%
    11-2015 6.7%
    12-2015 -0.38%
2015 -4.07%
    1-2014 NaN%
    2-2014 -3.66%
    3-2014 4.84%
    4-2014 -0.13%
    5-2014 0.69%
    6-2014 1.98%
    7-2014 1.31%
    8-2014 -1.71%
    9-2014 2.53%
    10-2014 -3.88%
    11-2014 1.22%
    12-2014 1.04%
2014 1.73%
    1-2013 NaN%
    2-2013 4.16%
    3-2013 0.06%
    4-2013 1.9%
    5-2013 2.52%
    6-2013 -0.39%
    7-2013 -3.29%
    8-2013 4.78%
    9-2013 -2.17%
    10-2013 4.74%
    11-2013 3.7%
    12-2013 1.37%
2013 20.08%
    1-2012 NaN%
    2-2012 5.92%
    3-2012 4.44%
    4-2012 0.85%
    5-2012 -1.13%
    6-2012 -8.17%
    7-2012 4.44%
    8-2012 0.76%
    9-2012 2.48%
    10-2012 1.9%
    11-2012 -0.56%
    12-2012 1.22%
2012 13.62%
    1-2011 NaN%
    2-2011 1.37%
    3-2011 3.01%
    4-2011 -0.19%
    5-2011 3.96%
    6-2011 -1.86%
    7-2011 -1.78%
    8-2011 -1.74%
    9-2011 -6.81%
    10-2011 -9.7%
    11-2011 10.29%
    12-2011 -1.52%
2011 -8.35%
