    1-2021 NaN%
    2-2021 -0.77%
    3-2021 -0.53%
    4-2021 -0.57%
    5-2021 1.66%
    6-2021 0.45%
    7-2021 0.68%
2021 1.69%
    1-2020 NaN%
    2-2020 1.08%
    3-2020 -0.76%
    4-2020 -4.35%
    5-2020 3.92%
    6-2020 1.55%
    7-2020 1.04%
    8-2020 2.29%
    9-2020 0.62%
    10-2020 -0.91%
    11-2020 -1.13%
    12-2020 3.84%
2020 7.57%
    1-2019 NaN%
    2-2019 2.63%
    3-2019 0.48%
    4-2019 1.46%
    5-2019 0.73%
    6-2019 -0.32%
    7-2019 2.14%
    8-2019 0.02%
    9-2019 1.39%
    10-2019 -0.2%
    11-2019 0.66%
    12-2019 0.48%
2019 10.33%
    1-2018 NaN%
    2-2018 0.38%
    3-2018 -1.99%
    4-2018 -0.16%
    5-2018 -0.65%
    6-2018 0.52%
    7-2018 -0.42%
    8-2018 0.61%
    9-2018 0.51%
    10-2018 -0.64%
    11-2018 -2.67%
    12-2018 0.65%
2018 -4.82%
    1-2017 NaN%
    2-2017 0.75%
    3-2017 1.06%
    4-2017 -0.02%
    5-2017 0.8%
    6-2017 0.8%
    7-2017 -0.12%
    8-2017 0.76%
    9-2017 0.57%
    10-2017 -0.13%
    11-2017 0.45%
    12-2017 0.26%
2017 5.94%
    1-2016 NaN%
    2-2016 -0.5%
    3-2016 0.12%
    4-2016 2.32%
    5-2016 0.46%
    6-2016 0.03%
    7-2016 1.07%
    8-2016 1.37%
    9-2016 -0.16%
    10-2016 -0.17%
    11-2016 -1.25%
    12-2016 -1.67%
2016 1.79%
    1-2015 NaN%
    2-2015 1.19%
    3-2015 0.47%
    4-2015 -0.27%
    5-2015 0.16%
    6-2015 -0.37%
    7-2015 -1.59%
    8-2015 0.59%
    9-2015 -2.05%
    10-2015 -0.53%
    11-2015 1.67%
    12-2015 -0.4%
2015 -2.5%
    1-2014 NaN%
    2-2014 0.05%
    3-2014 1.46%
    4-2014 -0.3%
    5-2014 0.56%
    6-2014 1.14%
    7-2014 0.31%
    8-2014 -0.8%
    9-2014 1.43%
    10-2014 -1.62%
    11-2014 0.94%
    12-2014 0.68%
2014 3.06%
    1-2013 NaN%
    2-2013 0.48%
    3-2013 0.34%
    4-2013 0.37%
    5-2013 1.15%
    6-2013 -1.37%
    7-2013 -2.14%
    8-2013 1.28%
    9-2013 -1.22%
    10-2013 1.72%
    11-2013 1.41%
    12-2013 0.02%
2013 2.24%
    1-2012 NaN%
    2-2012 1.97%
    3-2012 0.95%
    4-2012 -0.36%
    5-2012 0.41%
    6-2012 -1.5%
    7-2012 0.97%
    8-2012 1.08%
    9-2012 0.52%
    10-2012 0.44%
    11-2012 -0.27%
    12-2012 0.29%
2012 4.17%
    1-2011 NaN%
    2-2011 0.26%
    3-2011 0.74%
    4-2011 -0.25%
    5-2011 1.75%
    6-2011 0.31%
    7-2011 -0.97%
    8-2011 0.49%
    9-2011 -0.85%
    10-2011 -1.98%
    11-2011 2.68%
    12-2011 -0.74%
2011 0.99%
