    1-2021 NaN%
    2-2021 -0.44%
    3-2021 1.43%
    4-2021 1.14%
    5-2021 3.02%
    6-2021 1.28%
    7-2021 0.53%
2021 7.77%
    1-2020 NaN%
    2-2020 -0.62%
    3-2020 -4.76%
    4-2020 -10.91%
    5-2020 7.9%
    6-2020 3.68%
    7-2020 2.11%
    8-2020 3.82%
    9-2020 3.66%
    10-2020 -2.3%
    11-2020 -1.77%
    12-2020 9.1%
2020 11.19%
    1-2019 NaN%
    2-2019 5.92%
    3-2019 1.73%
    4-2019 0.97%
    5-2019 2.3%
    6-2019 -3.7%
    7-2019 4.2%
    8-2019 -0.16%
    9-2019 -0.75%
    10-2019 0.94%
    11-2019 1.94%
    12-2019 1.63%
2019 17.85%
    1-2018 NaN%
    2-2018 3.42%
    3-2018 -3.46%
    4-2018 -1.03%
    5-2018 0.1%
    6-2018 0.44%
    7-2018 -1.07%
    8-2018 2%
    9-2018 0.52%
    10-2018 -0.41%
    11-2018 -5.8%
    12-2018 1.25%
2018 -9.17%
    1-2017 NaN%
    2-2017 2.08%
    3-2017 1.96%
    4-2017 0.66%
    5-2017 1.31%
    6-2017 1.54%
    7-2017 -0.08%
    8-2017 1.91%
    9-2017 0.47%
    10-2017 0.92%
    11-2017 1.41%
    12-2017 1.23%
2017 15.29%
    1-2016 NaN%
    2-2016 -3.59%
    3-2016 -0.66%
    4-2016 5.26%
    5-2016 1.06%
    6-2016 0.21%
    7-2016 -0.29%
    8-2016 3.07%
    9-2016 0.23%
    10-2016 0.1%
    11-2016 -1.68%
    12-2016 -0.05%
2016 4.24%
    1-2015 NaN%
    2-2015 -0.27%
    3-2015 3.56%
    4-2015 -1.1%
    5-2015 1.76%
    6-2015 -0.04%
    7-2015 -2.4%
    8-2015 0.46%
    9-2015 -4.81%
    10-2015 -2.57%
    11-2015 4.89%
    12-2015 -0.4%
2015 -3.55%
    1-2014 NaN%
    2-2014 -2.35%
    3-2014 3.64%
    4-2014 -0.19%
    5-2014 0.65%
    6-2014 1.68%
    7-2014 0.94%
    8-2014 -1.38%
    9-2014 2.11%
    10-2014 -3.1%
    11-2014 1.09%
    12-2014 0.89%
2014 2.05%
    1-2013 NaN%
    2-2013 2.83%
    3-2013 0.14%
    4-2013 1.33%
    5-2013 2.05%
    6-2013 -0.79%
    7-2013 -2.91%
    8-2013 3.52%
    9-2013 -1.82%
    10-2013 3.69%
    11-2013 2.88%
    12-2013 0.87%
2013 13.54%
    1-2012 NaN%
    2-2012 4.53%
    3-2012 3.2%
    4-2012 0.39%
    5-2012 -0.59%
    6-2012 -5.83%
    7-2012 3.22%
    8-2012 0.87%
    9-2012 1.78%
    10-2012 1.38%
    11-2012 -0.44%
    12-2012 0.9%
2012 10.25%
    1-2011 NaN%
    2-2011 0.96%
    3-2011 2.19%
    4-2011 -0.22%
    5-2011 3.19%
    6-2011 -1.1%
    7-2011 -1.48%
    8-2011 -0.94%
    9-2011 -4.7%
    10-2011 -6.98%
    11-2011 7.56%
    12-2011 -1.26%
2011 -5.16%
