    1-2021 NaN%
    2-2021 -0.39%
    3-2021 2.7%
    4-2021 2.67%
    5-2021 4.7%
    6-2021 0.4%
    7-2021 2.07%
2021 13.85%
    1-2020 NaN%
    2-2020 0.12%
    3-2020 -7.2%
    4-2020 -12.85%
    5-2020 12.08%
    6-2020 4.87%
    7-2020 1.7%
    8-2020 5.22%
    9-2020 6.34%
    10-2020 -3.56%
    11-2020 -2.01%
    12-2020 11.07%
2020 17.51%
    1-2019 NaN%
    2-2019 7.82%
    3-2019 3.13%
    4-2019 0.98%
    5-2019 3.56%
    6-2019 -5.63%
    7-2019 6.03%
    8-2019 1.29%
    9-2019 -1.55%
    10-2019 1.04%
    11-2019 1.9%
    12-2019 3.38%
2019 26.09%
    1-2018 NaN%
    2-2018 4.66%
    3-2018 -3.47%
    4-2018 -2.1%
    5-2018 0.24%
    6-2018 2.58%
    7-2018 0.21%
    8-2018 3%
    9-2018 3.14%
    10-2018 -0.36%
    11-2018 -6.76%
    12-2018 1.9%
2018 -6.52%
    1-2017 NaN%
    2-2017 1.74%
    3-2017 3.38%
    4-2017 -0.36%
    5-2017 1%
    6-2017 0.97%
    7-2017 0.4%
    8-2017 1.7%
    9-2017 0.21%
    10-2017 1.75%
    11-2017 1.95%
    12-2017 2.7%
2017 17.17%
    1-2016 NaN%
    2-2016 -4.96%
    3-2016 0.01%
    4-2016 5.95%
    5-2016 0.6%
    6-2016 1.58%
    7-2016 0%
    8-2016 3.6%
    9-2016 0.21%
    10-2016 -0.32%
    11-2016 -2.09%
    12-2016 3.72%
2016 9.38%
    1-2015 NaN%
    2-2015 -2.28%
    3-2015 5.06%
    4-2015 -1.3%
    5-2015 0.32%
    6-2015 1.19%
    7-2015 -2.03%
    8-2015 1.54%
    9-2015 -5.46%
    10-2015 -3.04%
    11-2015 7.06%
    12-2015 0.46%
2015 -1.62%
    1-2014 NaN%
    2-2014 -2.66%
    3-2014 4.31%
    4-2014 0.04%
    5-2014 0.11%
    6-2014 2.04%
    7-2014 1.92%
    8-2014 -1.83%
    9-2014 3.86%
    10-2014 -2.39%
    11-2014 2.54%
    12-2014 2.23%
2014 9.76%
    1-2013 NaN%
    2-2013 4.86%
    3-2013 1.19%
    4-2013 3.07%
    5-2013 1.6%
    6-2013 1.92%
    7-2013 -1.72%
    8-2013 4.91%
    9-2013 -2.6%
    10-2013 2.93%
    11-2013 3.88%
    12-2013 2.54%
2013 27.39%
    1-2012 NaN%
    2-2012 4.64%
    3-2012 3.8%
    4-2012 2.27%
    5-2012 -0.47%
    6-2012 -5.54%
    7-2012 3.06%
    8-2012 1.05%
    9-2012 2.24%
    10-2012 1.86%
    11-2012 -1.59%
    12-2012 0.66%
2012 12.59%
    1-2011 NaN%
    2-2011 1.95%
    3-2011 3.25%
    4-2011 -0%
    5-2011 2.8%
    6-2011 -0.94%
    7-2011 -2.05%
    8-2011 -1.87%
    9-2011 -5.3%
    10-2011 -7.35%
    11-2011 10.38%
    12-2011 -0.31%
2011 -0.39%
