    1-2021 NaN%
    2-2021 -0.7%
    3-2021 0.28%
    4-2021 0.3%
    5-2021 2.54%
    6-2021 0.23%
    7-2021 1.27%
2021 5.06%
    1-2020 NaN%
    2-2020 1.11%
    3-2020 -2.36%
    4-2020 -6.15%
    5-2020 6.2%
    6-2020 2.36%
    7-2020 1.04%
    8-2020 3.09%
    9-2020 2.16%
    10-2020 -1.63%
    11-2020 -1.32%
    12-2020 5.45%
2020 10.65%
    1-2019 NaN%
    2-2019 3.9%
    3-2019 1.23%
    4-2019 1.39%
    5-2019 1.48%
    6-2019 -1.62%
    7-2019 3.19%
    8-2019 0.58%
    9-2019 0.73%
    10-2019 0.01%
    11-2019 0.84%
    12-2019 1.35%
2019 14.78%
    1-2018 NaN%
    2-2018 1.35%
    3-2018 -2.22%
    4-2018 -0.72%
    5-2018 -0.48%
    6-2018 1.36%
    7-2018 -0.02%
    8-2018 1.23%
    9-2018 1.55%
    10-2018 -0.59%
    11-2018 -3.54%
    12-2018 1.01%
2018 -4.45%
    1-2017 NaN%
    2-2017 0.83%
    3-2017 1.76%
    4-2017 -0.32%
    5-2017 0.76%
    6-2017 0.69%
    7-2017 0.07%
    8-2017 0.86%
    9-2017 0.45%
    10-2017 0.37%
    11-2017 0.81%
    12-2017 0.99%
2017 8.15%
    1-2016 NaN%
    2-2016 -1.53%
    3-2016 0.26%
    4-2016 3.06%
    5-2016 0.37%
    6-2016 0.6%
    7-2016 0.97%
    8-2016 1.85%
    9-2016 -0.1%
    10-2016 -0.29%
    11-2016 -1.48%
    12-2016 0.08%
2016 4.22%
    1-2015 NaN%
    2-2015 0.16%
    3-2015 1.55%
    4-2015 -0.48%
    5-2015 -0.16%
    6-2015 0.17%
    7-2015 -1.57%
    8-2015 1%
    9-2015 -2.74%
    10-2015 -1.04%
    11-2015 3.03%
    12-2015 -0.06%
2015 -1.9%
    1-2014 NaN%
    2-2014 -0.45%
    3-2014 2.07%
    4-2014 -0.19%
    5-2014 0.36%
    6-2014 1.37%
    7-2014 0.8%
    8-2014 -1.07%
    9-2014 2.23%
    10-2014 -1.57%
    11-2014 1.54%
    12-2014 1.25%
2014 5.97%
    1-2013 NaN%
    2-2013 1.66%
    3-2013 0.73%
    4-2013 1.21%
    5-2013 1.12%
    6-2013 -0.2%
    7-2013 -1.79%
    8-2013 2.18%
    9-2013 -1.63%
    10-2013 1.72%
    11-2013 2.04%
    12-2013 0.82%
2013 9.52%
    1-2012 NaN%
    2-2012 2.41%
    3-2012 1.54%
    4-2012 0.51%
    5-2012 0.3%
    6-2012 -2.06%
    7-2012 1.26%
    8-2012 1.12%
    9-2012 0.9%
    10-2012 0.78%
    11-2012 -0.76%
    12-2012 0.3%
2012 6.05%
    1-2011 NaN%
    2-2011 0.76%
    3-2011 1.39%
    4-2011 -0.16%
    5-2011 1.82%
    6-2011 0.16%
    7-2011 -1.27%
    8-2011 -0.1%
    9-2011 -1.69%
    10-2011 -2.91%
    11-2011 4.56%
    12-2011 -0.44%
2011 1.92%
