    1-2021 NaN%
    2-2021 -0.39%
    3-2021 2.31%
    4-2021 2.15%
    5-2021 4.09%
    6-2021 0.84%
    7-2021 1.4%
2021 11.73%
    1-2020 NaN%
    2-2020 -0.33%
    3-2020 -6.47%
    4-2020 -12.54%
    5-2020 10.61%
    6-2020 4.53%
    7-2020 1.96%
    8-2020 4.74%
    9-2020 5.43%
    10-2020 -3.13%
    11-2020 -1.96%
    12-2020 10.65%
2020 15.09%
    1-2019 NaN%
    2-2019 7.26%
    3-2019 2.63%
    4-2019 0.94%
    5-2019 3.14%
    6-2019 -5.07%
    7-2019 5.41%
    8-2019 0.65%
    9-2019 -1.38%
    10-2019 1.09%
    11-2019 2.02%
    12-2019 2.72%
2019 23.15%
    1-2018 NaN%
    2-2018 4.37%
    3-2018 -3.58%
    4-2018 -1.71%
    5-2018 0.24%
    6-2018 1.65%
    7-2018 -0.39%
    8-2018 2.68%
    9-2018 2.02%
    10-2018 -0.36%
    11-2018 -6.59%
    12-2018 1.67%
2018 -8.01%
    1-2017 NaN%
    2-2017 1.99%
    3-2017 2.84%
    4-2017 0.13%
    5-2017 1.17%
    6-2017 1.27%
    7-2017 0.2%
    8-2017 1.88%
    9-2017 0.31%
    10-2017 1.48%
    11-2017 1.79%
    12-2017 2.15%
2017 17.11%
    1-2016 NaN%
    2-2016 -4.62%
    3-2016 -0.34%
    4-2016 5.89%
    5-2016 0.85%
    6-2016 1.01%
    7-2016 -0.23%
    8-2016 3.51%
    9-2016 0.25%
    10-2016 -0.12%
    11-2016 -1.95%
    12-2016 2.23%
2016 7.37%
    1-2015 NaN%
    2-2015 -1.53%
    3-2015 4.66%
    4-2015 -1.28%
    5-2015 1.07%
    6-2015 0.69%
    7-2015 -2.25%
    8-2015 1.07%
    9-2015 -5.4%
    10-2015 -3%
    11-2015 6.38%
    12-2015 0.09%
2015 -2.54%
    1-2014 NaN%
    2-2014 -2.72%
    3-2014 4.19%
    4-2014 -0.05%
    5-2014 0.35%
    6-2014 1.92%
    7-2014 1.55%
    8-2014 -1.68%
    9-2014 3.16%
    10-2014 -2.81%
    11-2014 1.93%
    12-2014 1.67%
2014 6.37%
    1-2013 NaN%
    2-2013 4.17%
    3-2013 0.72%
    4-2013 2.4%
    5-2013 1.87%
    6-2013 0.81%
    7-2013 -2.29%
    8-2013 4.49%
    9-2013 -2.31%
    10-2013 3.41%
    11-2013 3.56%
    12-2013 1.89%
2013 22.35%
    1-2012 NaN%
    2-2012 4.8%
    3-2012 3.72%
    4-2012 1.52%
    5-2012 -0.6%
    6-2012 -6.01%
    7-2012 3.31%
    8-2012 0.95%
    9-2012 2.14%
    10-2012 1.73%
    11-2012 -1.11%
    12-2012 0.81%
2012 12.07%
    1-2011 NaN%
    2-2011 1.58%
    3-2011 2.91%
    4-2011 -0.09%
    5-2011 3.08%
    6-2011 -1.12%
    7-2011 -1.85%
    8-2011 -1.58%
    9-2011 -5.35%
    10-2011 -7.59%
    11-2011 9.56%
    12-2011 -0.76%
2011 -2.93%
