    1-2021 NaN%
    2-2021 -0.85%
    3-2021 -0.92%
    4-2021 -0.88%
    5-2021 1.46%
    6-2021 0.14%
    7-2021 0.86%
2021 0.66%
    1-2020 NaN%
    2-2020 1.6%
    3-2020 0.06%
    4-2020 -2.8%
    5-2020 3.26%
    6-2020 1.1%
    7-2020 0.72%
    8-2020 2.02%
    9-2020 0.07%
    10-2020 -0.67%
    11-2020 -0.98%
    12-2020 2.64%
2020 7.22%
    1-2019 NaN%
    2-2019 1.94%
    3-2019 0.29%
    4-2019 1.59%
    5-2019 0.44%
    6-2019 0.39%
    7-2019 1.77%
    8-2019 0.22%
    9-2019 1.88%
    10-2019 -0.5%
    11-2019 0.32%
    12-2019 0.34%
2019 9.13%
    1-2018 NaN%
    2-2018 -0.31%
    3-2018 -1.6%
    4-2018 -0.03%
    5-2018 -0.83%
    6-2018 0.75%
    7-2018 -0.13%
    8-2018 0.34%
    9-2018 0.76%
    10-2018 -0.7%
    11-2018 -1.93%
    12-2018 0.56%
2018 -3.41%
    1-2017 NaN%
    2-2017 0.37%
    3-2017 0.96%
    4-2017 -0.29%
    5-2017 0.63%
    6-2017 0.55%
    7-2017 -0.09%
    8-2017 0.44%
    9-2017 0.58%
    10-2017 -0.32%
    11-2017 0.25%
    12-2017 0.14%
2017 3.64%
    1-2016 NaN%
    2-2016 0.19%
    3-2016 0.39%
    4-2016 1.61%
    5-2016 0.25%
    6-2016 0.11%
    7-2016 1.45%
    8-2016 0.98%
    9-2016 -0.26%
    10-2016 -0.28%
    11-2016 -1.18%
    12-2016 -1.74%
2016 1.64%
    1-2015 NaN%
    2-2015 1.38%
    3-2015 -0.21%
    4-2015 -0.07%
    5-2015 -0.4%
    6-2015 -0.34%
    7-2015 -1.34%
    8-2015 0.72%
    9-2015 -1.37%
    10-2015 -0.04%
    11-2015 1.02%
    12-2015 -0.31%
2015 -2.03%
    1-2014 NaN%
    2-2014 0.66%
    3-2014 0.95%
    4-2014 -0.3%
    5-2014 0.49%
    6-2014 1.04%
    7-2014 0.24%
    8-2014 -0.69%
    9-2014 1.42%
    10-2014 -1.16%
    11-2014 1.04%
    12-2014 0.76%
2014 4.07%
    1-2013 NaN%
    2-2013 0.06%
    3-2013 0.5%
    4-2013 0.28%
    5-2013 0.87%
    6-2013 -1.26%
    7-2013 -1.82%
    8-2013 0.82%
    9-2013 -1.14%
    10-2013 1.12%
    11-2013 1.12%
    12-2013 -0.04%
2013 0.58%
    1-2012 NaN%
    2-2012 1.3%
    3-2012 0.41%
    4-2012 -0.38%
    5-2012 0.68%
    6-2012 -0.32%
    7-2012 0.36%
    8-2012 1.15%
    9-2012 0.23%
    10-2012 0.24%
    11-2012 -0.34%
    12-2012 0.11%
2012 2.78%
    1-2011 NaN%
    2-2011 0.17%
    3-2011 0.46%
    4-2011 -0.24%
    5-2011 1.34%
    6-2011 0.7%
    7-2011 -0.88%
    8-2011 0.78%
    9-2011 0.12%
    10-2011 -0.69%
    11-2011 1.65%
    12-2011 -0.51%
2011 3.08%
