    1-2021 NaN%
    2-2021 -0.88%
    3-2021 -1.18%
    4-2021 -1.15%
    5-2021 1.19%
    6-2021 0.18%
    7-2021 0.71%
2021 -0.37%
    1-2020 NaN%
    2-2020 1.64%
    3-2020 0.57%
    4-2020 -2.17%
    5-2020 2.57%
    6-2020 0.84%
    7-2020 0.69%
    8-2020 1.77%
    9-2020 -0.41%
    10-2020 -0.44%
    11-2020 -0.91%
    12-2020 2.09%
2020 6.33%
    1-2019 NaN%
    2-2019 1.53%
    3-2019 0.06%
    4-2019 1.62%
    5-2019 0.2%
    6-2019 0.81%
    7-2019 1.45%
    8-2019 0.08%
    9-2019 2.1%
    10-2019 -0.58%
    11-2019 0.24%
    12-2019 0.08%
2019 7.79%
    1-2018 NaN%
    2-2018 -0.64%
    3-2018 -1.5%
    4-2018 0.14%
    5-2018 -0.89%
    6-2018 0.53%
    7-2018 -0.22%
    8-2018 0.15%
    9-2018 0.49%
    10-2018 -0.72%
    11-2018 -1.63%
    12-2018 0.45%
2018 -3.4%
    1-2017 NaN%
    2-2017 0.32%
    3-2017 0.75%
    4-2017 -0.23%
    5-2017 0.63%
    6-2017 0.56%
    7-2017 -0.14%
    8-2017 0.39%
    9-2017 0.61%
    10-2017 -0.48%
    11-2017 0.13%
    12-2017 -0.07%
2017 2.84%
    1-2016 NaN%
    2-2016 0.53%
    3-2016 0.37%
    4-2016 1.35%
    5-2016 0.26%
    6-2016 -0.04%
    7-2016 1.51%
    8-2016 0.81%
    9-2016 -0.29%
    10-2016 -0.25%
    11-2016 -1.11%
    12-2016 -2.23%
2016 0.95%
    1-2015 NaN%
    2-2015 1.69%
    3-2015 -0.56%
    4-2015 0.01%
    5-2015 -0.36%
    6-2015 -0.48%
    7-2015 -1.32%
    8-2015 0.62%
    9-2015 -1.13%
    10-2015 0.14%
    11-2015 0.59%
    12-2015 -0.4%
2015 -2.17%
    1-2014 NaN%
    2-2014 0.85%
    3-2014 0.74%
    4-2014 -0.34%
    5-2014 0.54%
    6-2014 0.97%
    7-2014 0.1%
    8-2014 -0.61%
    9-2014 1.19%
    10-2014 -1.14%
    11-2014 0.88%
    12-2014 0.6%
2014 3.34%
    1-2013 NaN%
    2-2013 -0.3%
    3-2013 0.41%
    4-2013 0.04%
    5-2013 0.86%
    6-2013 -1.58%
    7-2013 -1.89%
    8-2013 0.53%
    9-2013 -1.02%
    10-2013 1.07%
    11-2013 0.92%
    12-2013 -0.27%
2013 -1.59%
    1-2012 NaN%
    2-2012 1.13%
    3-2012 0.2%
    4-2012 -0.62%
    5-2012 0.74%
    6-2012 -0.07%
    7-2012 0.23%
    8-2012 1.15%
    9-2012 0.1%
    10-2012 0.12%
    11-2012 -0.21%
    12-2012 0.1%
2012 2.14%
    1-2011 NaN%
    2-2011 0.02%
    3-2011 0.26%
    4-2011 -0.26%
    5-2011 1.28%
    6-2011 0.78%
    7-2011 -0.79%
    8-2011 0.97%
    9-2011 0.43%
    10-2011 -0.33%
    11-2011 1.04%
    12-2011 -0.57%
2011 2.99%
