    1-2021 NaN%
    2-2021 -0.42%
    3-2021 2.08%
    4-2021 1.93%
    5-2021 3.89%
    6-2021 0.8%
    7-2021 1.35%
2021 10.92%
    1-2020 NaN%
    2-2020 -0.2%
    3-2020 -6%
    4-2020 -11.85%
    5-2020 10.07%
    6-2020 4.28%
    7-2020 1.88%
    8-2020 4.54%
    9-2020 5.04%
    10-2020 -2.95%
    11-2020 -1.89%
    12-2020 10.08%
2020 14.51%
    1-2019 NaN%
    2-2019 6.88%
    3-2019 2.46%
    4-2019 0.98%
    5-2019 2.95%
    6-2019 -4.68%
    7-2019 5.15%
    8-2019 0.61%
    9-2019 -1.15%
    10-2019 0.97%
    11-2019 1.9%
    12-2019 2.55%
2019 22.13%
    1-2018 NaN%
    2-2018 4.04%
    3-2018 -3.44%
    4-2018 -1.59%
    5-2018 0.16%
    6-2018 1.58%
    7-2018 -0.38%
    8-2018 2.51%
    9-2018 1.91%
    10-2018 -0.39%
    11-2018 -6.26%
    12-2018 1.59%
2018 -7.7%
    1-2017 NaN%
    2-2017 1.88%
    3-2017 2.7%
    4-2017 0.11%
    5-2017 1.14%
    6-2017 1.22%
    7-2017 0.17%
    8-2017 1.78%
    9-2017 0.33%
    10-2017 1.35%
    11-2017 1.68%
    12-2017 2%
2017 16.16%
    1-2016 NaN%
    2-2016 -4.28%
    3-2016 -0.29%
    4-2016 5.59%
    5-2016 0.81%
    6-2016 0.94%
    7-2016 -0.11%
    8-2016 3.33%
    9-2016 0.21%
    10-2016 -0.13%
    11-2016 -1.89%
    12-2016 1.94%
2016 6.94%
    1-2015 NaN%
    2-2015 -1.32%
    3-2015 4.31%
    4-2015 -1.2%
    5-2015 0.97%
    6-2015 0.61%
    7-2015 -2.19%
    8-2015 1.04%
    9-2015 -5.12%
    10-2015 -2.79%
    11-2015 6%
    12-2015 0.06%
2015 -2.51%
    1-2014 NaN%
    2-2014 -2.48%
    3-2014 3.96%
    4-2014 -0.07%
    5-2014 0.36%
    6-2014 1.86%
    7-2014 1.45%
    8-2014 -1.61%
    9-2014 3.03%
    10-2014 -2.7%
    11-2014 1.86%
    12-2014 1.6%
2014 6.17%
    1-2013 NaN%
    2-2013 3.87%
    3-2013 0.7%
    4-2013 2.24%
    5-2013 1.8%
    6-2013 0.65%
    7-2013 -2.27%
    8-2013 4.23%
    9-2013 -2.23%
    10-2013 3.26%
    11-2013 3.39%
    12-2013 1.74%
2013 20.75%
    1-2012 NaN%
    2-2012 4.55%
    3-2012 3.49%
    4-2012 1.38%
    5-2012 -0.51%
    6-2012 -5.61%
    7-2012 3.1%
    8-2012 0.97%
    9-2012 2.01%
    10-2012 1.62%
    11-2012 -1.05%
    12-2012 0.77%
2012 11.41%
    1-2011 NaN%
    2-2011 1.48%
    3-2011 2.74%
    4-2011 -0.1%
    5-2011 2.96%
    6-2011 -1%
    7-2011 -1.78%
    8-2011 -1.41%
    9-2011 -4.96%
    10-2011 -7.11%
    11-2011 8.99%
    12-2011 -0.75%
2011 -2.53%
