    1-2021 NaN%
    2-2021 -0.57%
    3-2021 0.87%
    4-2021 0.74%
    5-2021 2.8%
    6-2021 0.73%
    7-2021 0.93%
2021 6.49%
    1-2020 NaN%
    2-2020 0.28%
    3-2020 -3.57%
    4-2020 -8.51%
    5-2020 7.1%
    6-2020 3.03%
    7-2020 1.56%
    8-2020 3.47%
    9-2020 2.94%
    10-2020 -1.98%
    11-2020 -1.55%
    12-2020 7.27%
2020 11.02%
    1-2019 NaN%
    2-2019 4.92%
    3-2019 1.5%
    4-2019 1.18%
    5-2019 1.9%
    6-2019 -2.67%
    7-2019 3.72%
    8-2019 0.24%
    9-2019 -0.01%
    10-2019 0.47%
    11-2019 1.38%
    12-2019 1.52%
2019 16.42%
    1-2018 NaN%
    2-2018 2.38%
    3-2018 -2.83%
    4-2018 -0.89%
    5-2018 -0.19%
    6-2018 0.95%
    7-2018 -0.51%
    8-2018 1.62%
    9-2018 1.09%
    10-2018 -0.5%
    11-2018 -4.66%
    12-2018 1.14%
2018 -6.71%
    1-2017 NaN%
    2-2017 1.43%
    3-2017 1.88%
    4-2017 0.14%
    5-2017 1.02%
    6-2017 1.09%
    7-2017 0.01%
    8-2017 1.37%
    9-2017 0.46%
    10-2017 0.65%
    11-2017 1.11%
    12-2017 1.14%
2017 11.67%
    1-2016 NaN%
    2-2016 -2.56%
    3-2016 -0.18%
    4-2016 4.15%
    5-2016 0.7%
    6-2016 0.43%
    7-2016 0.36%
    8-2016 2.46%
    9-2016 0.06%
    10-2016 -0.11%
    11-2016 -1.59%
    12-2016 0.08%
2016 4.32%
    1-2015 NaN%
    2-2015 -0.08%
    3-2015 2.56%
    4-2015 -0.78%
    5-2015 0.75%
    6-2015 0.09%
    7-2015 -1.97%
    8-2015 0.75%
    9-2015 -3.76%
    10-2015 -1.79%
    11-2015 3.98%
    12-2015 -0.21%
2015 -2.67%
    1-2014 NaN%
    2-2014 -1.38%
    3-2014 2.85%
    4-2014 -0.19%
    5-2014 0.49%
    6-2014 1.53%
    7-2014 0.89%
    8-2014 -1.23%
    9-2014 2.2%
    10-2014 -2.31%
    11-2014 1.35%
    12-2014 1.09%
2014 4.19%
    1-2013 NaN%
    2-2013 2.26%
    3-2013 0.46%
    4-2013 1.3%
    5-2013 1.57%
    6-2013 -0.44%
    7-2013 -2.31%
    8-2013 2.86%
    9-2013 -1.73%
    10-2013 2.67%
    11-2013 2.46%
    12-2013 0.87%
2013 11.72%
    1-2012 NaN%
    2-2012 3.45%
    3-2012 2.36%
    4-2012 0.48%
    5-2012 -0.13%
    6-2012 -3.9%
    7-2012 2.22%
    8-2012 1%
    9-2012 1.34%
    10-2012 1.08%
    11-2012 -0.62%
    12-2012 0.59%
2012 8.14%
    1-2011 NaN%
    2-2011 0.88%
    3-2011 1.8%
    4-2011 -0.18%
    5-2011 2.48%
    6-2011 -0.46%
    7-2011 -1.38%
    8-2011 -0.53%
    9-2011 -3.17%
    10-2011 -4.91%
    11-2011 6.07%
    12-2011 -0.83%
2011 -1.46%
