    1-2021 NaN%
    2-2021 -0.67%
    3-2021 0.18%
    4-2021 0.1%
    5-2021 2.26%
    6-2021 0.55%
    7-2021 0.85%
2021 4.18%
    1-2020 NaN%
    2-2020 0.72%
    3-2020 -2.19%
    4-2020 -6.4%
    5-2020 5.58%
    6-2020 2.29%
    7-2020 1.27%
    8-2020 2.9%
    9-2020 1.81%
    10-2020 -1.46%
    11-2020 -1.34%
    12-2020 5.55%
2020 9.42%
    1-2019 NaN%
    2-2019 3.79%
    3-2019 1.02%
    4-2019 1.33%
    5-2019 1.33%
    6-2019 -1.51%
    7-2019 2.96%
    8-2019 0.17%
    9-2019 0.69%
    10-2019 0.12%
    11-2019 1%
    12-2019 1.03%
2019 13.51%
    1-2018 NaN%
    2-2018 1.38%
    3-2018 -2.39%
    4-2018 -0.54%
    5-2018 -0.43%
    6-2018 0.79%
    7-2018 -0.42%
    8-2018 1.13%
    9-2018 0.87%
    10-2018 -0.57%
    11-2018 -3.65%
    12-2018 0.91%
2018 -5.64%
    1-2017 NaN%
    2-2017 1.07%
    3-2017 1.5%
    4-2017 0.03%
    5-2017 0.9%
    6-2017 0.92%
    7-2017 -0.05%
    8-2017 1.05%
    9-2017 0.51%
    10-2017 0.27%
    11-2017 0.79%
    12-2017 0.73%
2017 8.75%
    1-2016 NaN%
    2-2016 -1.53%
    3-2016 -0%
    4-2016 3.22%
    5-2016 0.56%
    6-2016 0.26%
    7-2016 0.74%
    8-2016 1.91%
    9-2016 -0.06%
    10-2016 -0.15%
    11-2016 -1.42%
    12-2016 -0.71%
2016 3.17%
    1-2015 NaN%
    2-2015 0.52%
    3-2015 1.51%
    4-2015 -0.52%
    5-2015 0.4%
    6-2015 -0.11%
    7-2015 -1.76%
    8-2015 0.7%
    9-2015 -2.89%
    10-2015 -1.15%
    11-2015 2.84%
    12-2015 -0.28%
2015 -2.52%
    1-2014 NaN%
    2-2014 -0.64%
    3-2014 2.15%
    4-2014 -0.24%
    5-2014 0.51%
    6-2014 1.34%
    7-2014 0.62%
    8-2014 -1.02%
    9-2014 1.85%
    10-2014 -1.93%
    11-2014 1.18%
    12-2014 0.92%
2014 3.84%
    1-2013 NaN%
    2-2013 1.4%
    3-2013 0.43%
    4-2013 0.87%
    5-2013 1.34%
    6-2013 -0.84%
    7-2013 -2.19%
    8-2013 2.08%
    9-2013 -1.49%
    10-2013 2.15%
    11-2013 1.95%
    12-2013 0.48%
2013 7.22%
    1-2012 NaN%
    2-2012 2.68%
    3-2012 1.64%
    4-2012 0.1%
    5-2012 0.15%
    6-2012 -2.64%
    7-2012 1.56%
    8-2012 1.04%
    9-2012 0.92%
    10-2012 0.76%
    11-2012 -0.48%
    12-2012 0.43%
2012 6.15%
    1-2011 NaN%
    2-2011 0.59%
    3-2011 1.28%
    4-2011 -0.21%
    5-2011 2.09%
    6-2011 -0.05%
    7-2011 -1.18%
    8-2011 -0.03%
    9-2011 -1.98%
    10-2011 -3.39%
    11-2011 4.39%
    12-2011 -0.75%
2011 -0.03%
