    1-2021 NaN%
    2-2021 -0.71%
    3-2021 -0.05%
    4-2021 -0.11%
    5-2021 2.08%
    6-2021 0.5%
    7-2021 0.82%
2021 3.41%
    1-2020 NaN%
    2-2020 0.87%
    3-2020 -1.72%
    4-2020 -5.7%
    5-2020 5.07%
    6-2020 2.05%
    7-2020 1.18%
    8-2020 2.71%
    9-2020 1.44%
    10-2020 -1.29%
    11-2020 -1.27%
    12-2020 4.97%
2020 8.89%
    1-2019 NaN%
    2-2019 3.41%
    3-2019 0.85%
    4-2019 1.38%
    5-2019 1.14%
    6-2019 -1.12%
    7-2019 2.7%
    8-2019 0.15%
    9-2019 0.93%
    10-2019 0.01%
    11-2019 0.88%
    12-2019 0.87%
2019 12.54%
    1-2018 NaN%
    2-2018 1.04%
    3-2018 -2.24%
    4-2018 -0.43%
    5-2018 -0.5%
    6-2018 0.74%
    7-2018 -0.39%
    8-2018 0.96%
    9-2018 0.8%
    10-2018 -0.6%
    11-2018 -3.32%
    12-2018 0.83%
2018 -5.29%
    1-2017 NaN%
    2-2017 0.95%
    3-2017 1.37%
    4-2017 -0.01%
    5-2017 0.85%
    6-2017 0.87%
    7-2017 -0.06%
    8-2017 0.94%
    9-2017 0.53%
    10-2017 0.15%
    11-2017 0.68%
    12-2017 0.59%
2017 7.77%
    1-2016 NaN%
    2-2016 -1.18%
    3-2016 0.06%
    4-2016 2.91%
    5-2016 0.51%
    6-2016 0.21%
    7-2016 0.86%
    8-2016 1.73%
    9-2016 -0.09%
    10-2016 -0.17%
    11-2016 -1.37%
    12-2016 -0.98%
2016 2.78%
    1-2015 NaN%
    2-2015 0.72%
    3-2015 1.17%
    4-2015 -0.43%
    5-2015 0.28%
    6-2015 -0.18%
    7-2015 -1.69%
    8-2015 0.68%
    9-2015 -2.6%
    10-2015 -0.94%
    11-2015 2.46%
    12-2015 -0.3%
2015 -2.47%
    1-2014 NaN%
    2-2014 -0.4%
    3-2014 1.91%
    4-2014 -0.26%
    5-2014 0.52%
    6-2014 1.28%
    7-2014 0.53%
    8-2014 -0.95%
    9-2014 1.74%
    10-2014 -1.8%
    11-2014 1.13%
    12-2014 0.86%
2014 3.73%
    1-2013 NaN%
    2-2013 1.11%
    3-2013 0.42%
    4-2013 0.73%
    5-2013 1.26%
    6-2013 -0.97%
    7-2013 -2.14%
    8-2013 1.82%
    9-2013 -1.41%
    10-2013 1.98%
    11-2013 1.77%
    12-2013 0.35%
2013 5.72%
    1-2012 NaN%
    2-2012 2.43%
    3-2012 1.4%
    4-2012 -0.02%
    5-2012 0.25%
    6-2012 -2.22%
    7-2012 1.34%
    8-2012 1.06%
    9-2012 0.79%
    10-2012 0.65%
    11-2012 -0.43%
    12-2012 0.37%
2012 5.48%
    1-2011 NaN%
    2-2011 0.49%
    3-2011 1.11%
    4-2011 -0.22%
    5-2011 1.96%
    6-2011 0.09%
    7-2011 -1.12%
    8-2011 0.14%
    9-2011 -1.58%
    10-2011 -2.89%
    11-2011 3.83%
    12-2011 -0.72%
2011 0.45%
