    1-2021 NaN%
    2-2021 -0.81%
    3-2021 -0.74%
    4-2021 -0.74%
    5-2021 1.53%
    6-2021 0.32%
    7-2021 0.74%
2021 1.1%
    1-2020 NaN%
    2-2020 1.31%
    3-2020 -0.34%
    4-2020 -3.59%
    5-2020 3.54%
    6-2020 1.32%
    7-2020 0.9%
    8-2020 2.14%
    9-2020 0.31%
    10-2020 -0.77%
    11-2020 -1.05%
    12-2020 3.25%
2020 7.29%
    1-2019 NaN%
    2-2019 2.28%
    3-2019 0.37%
    4-2019 1.52%
    5-2019 0.57%
    6-2019 0.04%
    7-2019 1.94%
    8-2019 0.09%
    9-2019 1.63%
    10-2019 -0.34%
    11-2019 0.5%
    12-2019 0.38%
2019 9.63%
    1-2018 NaN%
    2-2018 0.04%
    3-2018 -1.81%
    4-2018 -0.08%
    5-2018 -0.74%
    6-2018 0.59%
    7-2018 -0.31%
    8-2018 0.47%
    9-2018 0.58%
    10-2018 -0.67%
    11-2018 -2.31%
    12-2018 0.6%
2018 -4.22%
    1-2017 NaN%
    2-2017 0.58%
    3-2017 0.98%
    4-2017 -0.13%
    5-2017 0.73%
    6-2017 0.69%
    7-2017 -0.12%
    8-2017 0.62%
    9-2017 0.58%
    10-2017 -0.23%
    11-2017 0.35%
    12-2017 0.18%
2017 4.84%
    1-2016 NaN%
    2-2016 -0.15%
    3-2016 0.23%
    4-2016 1.98%
    5-2016 0.37%
    6-2016 0.04%
    7-2016 1.24%
    8-2016 1.18%
    9-2016 -0.21%
    10-2016 -0.21%
    11-2016 -1.21%
    12-2016 -1.77%
2016 1.63%
    1-2015 NaN%
    2-2015 1.32%
    3-2015 0.13%
    4-2015 -0.17%
    5-2015 -0.07%
    6-2015 -0.38%
    7-2015 -1.48%
    8-2015 0.63%
    9-2015 -1.72%
    10-2015 -0.3%
    11-2015 1.33%
    12-2015 -0.37%
2015 -2.32%
    1-2014 NaN%
    2-2014 0.34%
    3-2014 1.21%
    4-2014 -0.31%
    5-2014 0.54%
    6-2014 1.09%
    7-2014 0.26%
    8-2014 -0.74%
    9-2014 1.39%
    10-2014 -1.42%
    11-2014 0.96%
    12-2014 0.69%
2014 3.39%
    1-2013 NaN%
    2-2013 0.25%
    3-2013 0.4%
    4-2013 0.3%
    5-2013 1.03%
    6-2013 -1.37%
    7-2013 -2.01%
    8-2013 1.04%
    9-2013 -1.17%
    10-2013 1.45%
    11-2013 1.25%
    12-2013 -0.04%
2013 1.22%
    1-2012 NaN%
    2-2012 1.66%
    3-2012 0.69%
    4-2012 -0.4%
    5-2012 0.53%
    6-2012 -0.96%
    7-2012 0.69%
    8-2012 1.11%
    9-2012 0.37%
    10-2012 0.34%
    11-2012 -0.28%
    12-2012 0.21%
2012 3.48%
    1-2011 NaN%
    2-2011 0.2%
    3-2011 0.59%
    4-2011 -0.25%
    5-2011 1.57%
    6-2011 0.49%
    7-2011 -0.92%
    8-2011 0.64%
    9-2011 -0.39%
    10-2011 -1.38%
    11-2011 2.15%
    12-2011 -0.65%
2011 1.87%
