    1-2021 NaN%
    2-2021 -0.42%
    3-2021 2.46%
    4-2021 2.43%
    5-2021 4.49%
    6-2021 0.38%
    7-2021 1.99%
2021 12.97%
    1-2020 NaN%
    2-2020 0.22%
    3-2020 -6.71%
    4-2020 -12.18%
    5-2020 11.49%
    6-2020 4.62%
    7-2020 1.63%
    8-2020 5.01%
    9-2020 5.92%
    10-2020 -3.37%
    11-2020 -1.94%
    12-2020 10.51%
2020 16.83%
    1-2019 NaN%
    2-2019 7.43%
    3-2019 2.94%
    4-2019 1.02%
    5-2019 3.35%
    6-2019 -5.23%
    7-2019 5.75%
    8-2019 1.22%
    9-2019 -1.33%
    10-2019 0.93%
    11-2019 1.79%
    12-2019 3.18%
2019 24.96%
    1-2018 NaN%
    2-2018 4.33%
    3-2018 -3.34%
    4-2018 -1.97%
    5-2018 0.16%
    6-2018 2.46%
    7-2018 0.18%
    8-2018 2.82%
    9-2018 2.98%
    10-2018 -0.38%
    11-2018 -6.43%
    12-2018 1.81%
2018 -6.32%
    1-2017 NaN%
    2-2017 1.65%
    3-2017 3.22%
    4-2017 -0.36%
    5-2017 0.98%
    6-2017 0.94%
    7-2017 0.37%
    8-2017 1.61%
    9-2017 0.24%
    10-2017 1.61%
    11-2017 1.83%
    12-2017 2.53%
2017 16.27%
    1-2016 NaN%
    2-2016 -4.62%
    3-2016 0.03%
    4-2016 5.67%
    5-2016 0.58%
    6-2016 1.48%
    7-2016 0.1%
    8-2016 3.42%
    9-2016 0.18%
    10-2016 -0.32%
    11-2016 -2.03%
    12-2016 3.36%
2016 8.87%
    1-2015 NaN%
    2-2015 -2.04%
    3-2015 4.71%
    4-2015 -1.22%
    5-2015 0.28%
    6-2015 1.09%
    7-2015 -1.98%
    8-2015 1.49%
    9-2015 -5.19%
    10-2015 -2.84%
    11-2015 6.66%
    12-2015 0.41%
2015 -1.65%
    1-2014 NaN%
    2-2014 -2.44%
    3-2014 4.08%
    4-2014 0.02%
    5-2014 0.14%
    6-2014 1.97%
    7-2014 1.81%
    8-2014 -1.75%
    9-2014 3.69%
    10-2014 -2.31%
    11-2014 2.44%
    12-2014 2.13%
2014 9.38%
    1-2013 NaN%
    2-2013 4.54%
    3-2013 1.14%
    4-2013 2.88%
    5-2013 1.55%
    6-2013 1.71%
    7-2013 -1.73%
    8-2013 4.64%
    9-2013 -2.51%
    10-2013 2.81%
    11-2013 3.69%
    12-2013 2.36%
2013 25.61%
    1-2012 NaN%
    2-2012 4.41%
    3-2012 3.58%
    4-2012 2.1%
    5-2012 -0.39%
    6-2012 -5.19%
    7-2012 2.88%
    8-2012 1.05%
    9-2012 2.11%
    10-2012 1.75%
    11-2012 -1.51%
    12-2012 0.63%
2012 11.94%
    1-2011 NaN%
    2-2011 1.83%
    3-2011 3.07%
    4-2011 -0.02%
    5-2011 2.7%
    6-2011 -0.83%
    7-2011 -1.97%
    8-2011 -1.69%
    9-2011 -4.94%
    10-2011 -6.91%
    11-2011 9.8%
    12-2011 -0.33%
2011 -0.16%
