    1-2021 NaN%
    2-2021 -0.42%
    3-2021 1.72%
    4-2021 1.46%
    5-2021 3.35%
    6-2021 1.16%
    7-2021 0.78%
2021 9.02%
    1-2020 NaN%
    2-2020 -0.55%
    3-2020 -5.31%
    4-2020 -11.47%
    5-2020 8.75%
    6-2020 3.96%
    7-2020 2.08%
    8-2020 4.11%
    9-2020 4.23%
    10-2020 -2.56%
    11-2020 -1.83%
    12-2020 9.62%
2020 12.39%
    1-2019 NaN%
    2-2019 6.36%
    3-2019 2.02%
    4-2019 0.95%
    5-2019 2.57%
    6-2019 -4.15%
    7-2019 4.58%
    8-2019 0.07%
    9-2019 -0.97%
    10-2019 1%
    11-2019 1.98%
    12-2019 1.97%
2019 19.51%
    1-2018 NaN%
    2-2018 3.74%
    3-2018 -3.51%
    4-2018 -1.24%
    5-2018 0.15%
    6-2018 0.8%
    7-2018 -0.88%
    8-2018 2.21%
    9-2018 0.96%
    10-2018 -0.4%
    11-2018 -6.07%
    12-2018 1.38%
2018 -8.88%
    1-2017 NaN%
    2-2017 2.07%
    3-2017 2.23%
    4-2017 0.51%
    5-2017 1.28%
    6-2017 1.47%
    7-2017 0%
    8-2017 1.92%
    9-2017 0.42%
    10-2017 1.1%
    11-2017 1.54%
    12-2017 1.52%
2017 15.95%
    1-2016 NaN%
    2-2016 -3.93%
    3-2016 -0.57%
    4-2016 5.49%
    5-2016 1.01%
    6-2016 0.45%
    7-2016 -0.29%
    8-2016 3.22%
    9-2016 0.24%
    10-2016 0.03%
    11-2016 -1.77%
    12-2016 0.65%
2016 5.19%
    1-2015 NaN%
    2-2015 -0.66%
    3-2015 3.92%
    4-2015 -1.16%
    5-2015 1.58%
    6-2015 0.18%
    7-2015 -2.37%
    8-2015 0.64%
    9-2015 -5.02%
    10-2015 -2.72%
    11-2015 5.37%
    12-2015 -0.26%
2015 -3.27%
    1-2014 NaN%
    2-2014 -2.49%
    3-2014 3.83%
    4-2014 -0.15%
    5-2014 0.56%
    6-2014 1.76%
    7-2014 1.13%
    8-2014 -1.48%
    9-2014 2.43%
    10-2014 -3.03%
    11-2014 1.34%
    12-2014 1.12%
2014 3.31%
    1-2013 NaN%
    2-2013 3.25%
    3-2013 0.31%
    4-2013 1.66%
    5-2013 2.01%
    6-2013 -0.31%
    7-2013 -2.74%
    8-2013 3.84%
    9-2013 -1.97%
    10-2013 3.64%
    11-2013 3.1%
    12-2013 1.18%
2013 16.29%
    1-2012 NaN%
    2-2012 4.64%
    3-2012 3.38%
    4-2012 0.74%
    5-2012 -0.6%
    6-2012 -5.94%
    7-2012 3.28%
    8-2012 0.89%
    9-2012 1.9%
    10-2012 1.49%
    11-2012 -0.64%
    12-2012 0.88%
2012 10.87%
    1-2011 NaN%
    2-2011 1.15%
    3-2011 2.42%
    4-2011 -0.18%
    5-2011 3.18%
    6-2011 -1.13%
    7-2011 -1.6%
    8-2011 -1.14%
    9-2011 -4.94%
    10-2011 -7.22%
    11-2011 8.21%
    12-2011 -1.12%
2011 -4.58%
